_id,Index_,ReportedYear,Category,Subtype,AssaultSubtype,Sex,AgeGroup,AgeCohort,Count_,ObjectId,geometry
91,NA,2016,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,45-54,5,90,null
92,NA,2016,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Unknown,Unknown,26,91,null
93,NA,2016,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,18-24,11,92,null
94,NA,2016,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,25-34,13,93,null
95,NA,2016,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,35-44,11,94,null
96,NA,2016,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,45-54,2,95,null
97,NA,2016,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,55-64,1,96,null
98,NA,2016,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,65+,1,97,null
99,NA,2016,Crimes Against the Person,Assault,Assault Resist Arrest,F,Unknown,Unknown,9,98,null
100,NA,2016,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,18-24,49,99,null
101,NA,2016,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,25-34,80,100,null
102,NA,2014,Crimes Against the Person,Sexual Violation,N/A,M,Adult,18-24,23,101,null
103,NA,2014,Crimes Against the Person,Sexual Violation,N/A,M,Adult,25-34,29,102,null
104,NA,2014,Crimes Against the Person,Sexual Violation,N/A,M,Adult,35-44,9,103,null
105,NA,2014,Crimes Against the Person,Sexual Violation,N/A,M,Adult,45-54,13,104,null
106,NA,2014,Crimes Against the Person,Sexual Violation,N/A,M,Adult,55-64,7,105,null
107,NA,2014,Crimes Against the Person,Sexual Violation,N/A,M,Adult,65+,2,106,null
108,NA,2014,Crimes Against the Person,Sexual Violation,N/A,M,Child,<12,106,107,null
109,NA,2014,Crimes Against the Person,Sexual Violation,N/A,M,Unknown,Unknown,4,108,null
110,NA,2014,Crimes Against the Person,Sexual Violation,N/A,M,Youth,12-17,70,109,null
111,NA,2015,Crimes Against the Person,Assault,Aggravated Peace Officer,F,Unknown,Unknown,1,110,null
112,NA,2015,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,25-34,4,111,null
113,NA,2015,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,35-44,7,112,null
114,NA,2015,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,45-54,2,113,null
115,NA,2015,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,65+,2,114,null
116,NA,2015,Crimes Against the Person,Assault,Assault Peace Officer,F,Unknown,Unknown,74,115,null
117,NA,2015,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,18-24,1,116,null
118,NA,2015,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,25-34,26,117,null
119,NA,2015,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,35-44,25,118,null
120,NA,2015,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,45-54,10,119,null
121,NA,2015,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,55-64,3,120,null
122,NA,2015,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,65+,5,121,null
123,NA,2015,Crimes Against the Person,Assault,Assault Peace Officer,M,Unknown,Unknown,325,122,null
124,NA,2015,Crimes Against the Person,Assault,Assault Peace Officer,U,Unknown,Unknown,1,123,null
125,NA,2015,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,F,Adult,25-34,1,124,null
126,NA,2015,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,F,Unknown,Unknown,4,125,null
127,NA,2015,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,18-24,1,126,null
128,NA,2015,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,35-44,1,127,null
129,NA,2015,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,45-54,2,128,null
130,NA,2015,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,55-64,1,129,null
131,NA,2015,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Unknown,Unknown,21,130,null
132,NA,2015,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,18-24,10,131,null
133,NA,2015,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,25-34,16,132,null
134,NA,2015,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,35-44,4,133,null
135,NA,2015,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,45-54,3,134,null
136,NA,2015,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,55-64,2,135,null
